Guess_Limit,All_Hash_Time_s,StringProcess_s,Parallel_Hash_Time_s
10000000,3.42601,0.972796,2.453214
15000000,5.04985,1.42807,3.62178
20000000,6.87221,1.93511,4.9371
25000000,8.94327,2.50372,6.43955
30000000,10.8295,2.99442,7.83508
35000000,12.2782,3.44026,8.83794
40000000,14.4665,4.01948,10.44702
45000000,16.0636,4.50651,11.55709
50000000,17.916,5.0831,12.8329
